date,close_price
21-NOV-2025,26068.15
24-NOV-2025,25959.5
25-NOV-2025,25884.8
26-NOV-2025,26205.3
27-NOV-2025,26215.55
28-NOV-2025,26202.95
01-DEC-2025,26175.75
02-DEC-2025,26032.2
03-DEC-2025,25986
04-DEC-2025,26033.75
05-DEC-2025,26186.45
08-DEC-2025,25960.55
09-DEC-2025,25839.65
10-DEC-2025,25758
11-DEC-2025,25898.55
12-DEC-2025,26046.95
15-DEC-2025,26027.3
16-DEC-2025,25860.1
17-DEC-2025,25818.55
18-DEC-2025,25815.55
19-DEC-2025,25966.4
22-DEC-2025,26172.4
23-DEC-2025,26177.15
24-DEC-2025,26142.1
26-DEC-2025,26042.3
29-DEC-2025,25942.1
30-DEC-2025,25938.85
31-DEC-2025,26129.6
01-JAN-2026,26146.55
02-JAN-2026,26328.55
05-JAN-2026,26250.3
06-JAN-2026,26178.7
07-JAN-2026,26140.75
08-JAN-2026,25876.85
09-JAN-2026,25683.3
12-JAN-2026,25790.25
13-JAN-2026,25732.3
14-JAN-2026,25665.6
16-JAN-2026,25694.35
19-JAN-2026,25585.5
20-JAN-2026,25232.5
21-JAN-2026,25157.5
22-JAN-2026,25289.9
23-JAN-2026,25048.65
27-JAN-2026,25175.4
28-JAN-2026,25342.75
29-JAN-2026,25418.9
30-JAN-2026,25320.65
01-FEB-2026,24825.45
02-FEB-2026,25088.4
03-FEB-2026,25727.55
04-FEB-2026,25776
05-FEB-2026,25642.8
06-FEB-2026,25693.7
09-FEB-2026,25867.3
10-FEB-2026,25935.15
11-FEB-2026,25953.85
12-FEB-2026,25807.2
13-FEB-2026,25471.1
16-FEB-2026,25682.75
17-FEB-2026,25725.4
18-FEB-2026,25819.35
19-FEB-2026,25454.35
20-FEB-2026,25571.25
23-FEB-2026,25713
24-FEB-2026,25424.65
25-FEB-2026,25482.5
26-FEB-2026,25496.55
27-FEB-2026,25178.65
02-MAR-2026,24865.7
04-MAR-2026,24480.5
05-MAR-2026,24765.9
06-MAR-2026,24450.45
09-MAR-2026,24028.05
10-MAR-2026,24261.6
11-MAR-2026,23866.85
12-MAR-2026,23639.15
13-MAR-2026,23151.1
16-MAR-2026,23408.8
17-MAR-2026,23581.15
18-MAR-2026,23777.8
19-MAR-2026,23002.15
20-MAR-2026,23114.5
23-MAR-2026,22512.65
24-MAR-2026,22912.4
25-MAR-2026,23306.45
27-MAR-2026,22819.6
30-MAR-2026,22331.4
01-APR-2026,22679.4
02-APR-2026,22713.1
06-APR-2026,22968.25
